,Name,Explanation,Action,Commonly known as,Abbrevations,See also,
,Plague  (Yersinia Pestis),"Plague is a deadly infectious disease that is caused by the enterobacteria Yersinia pestis. Primarily carried by rodents (most notably rats) and spread to humans via fleas. Until June 2007, plague was one of the three epidemic diseases specifically reportable to the World Health Organization (the other two being cholera and yellow fever).
Depending on lung infection, or sanitary conditions, plague also can be spread in the air, by direct contact, or by contaminated undercooked food or materials. The symptoms of plague depend on the concentrated areas of infection in each person: such as bubonic plague in lymph nodes, septicaemic plague in blood vessels, pneumonic plague in lungs, and so on. It is treatable if detected early.
",Must not donate - unless 3 months after recovery and Must not donate - unless more than 2 weeks after last contact with an infected individual,"Yersinia Pestis, bubonic plague",,,
,Plasma Dilution,"FDA Appendices 1-4 for procedure:
http://www.fda.gov/biologicsbloodvaccines/guidancecomplianceregulatoryinformation
/guidances/tissue/ucm073964.htm#APPENDIX1

UK Appendix 4 for procedure:
http://www.transfusionguidelines.org.uk/Index.aspx?Publication=CTD&Section=17&pageid=256
Please note that both FDA and UK standards define the criteria for plasma dilution to be – following significant blood loss. Plasma dilution is not possible in the absence of significant blood loss.","Must not donate a) if there is significant blood loss together with intra-venous infusions that it is estimated have resulted in more than 50% plasma dilution AND, 
b) if pre-transfusion/infusion sample is not available for testing
",,,,
,Platelet Disorder,,Accept if not covered by a specific entry,"Examples - Haematological Disease
Immune Thrombocytopenia
Thrombocytosis
",,"Is there  a specific entry for the condition? Haematological Disease
Immune Thrombocytopenia
Thrombocytosis
",
,Pleurisy,,,,,"Infection - Genreal, Malignancy",
,Pneumoncoccal Immunisation,,,"Prevenar 13, Pneumovax 23",,Immunisation  non-live,
,Pneumonia,,,,,Infection - Acute,
,Poliomyelitits,"Poliomyelitis, often called polio or infantile paralysis, is an acute, viral, highly contagious infectious disease spread from person to person, primarily via the faecal-oral and oral-oral (oropharyngeal) routes.
Although approximately 90% of polio infections cause no symptoms at all, affected individuals can exhibit a range of symptoms if the virus enters the blood stream. In about 1% of cases, the virus enters the central nervous system, preferentially infecting and destroying motor neurons, leading to muscle weakness and acute flaccid paralysis.
","Must not donate unless longer than 2 weeks after recovery
Must not donate unless more than 6 weeks after last contact with an infected individual
","Polio, infantile paralysis",,,
,Polio (Poliomyelitis) Immunisation,Query type of immunisation - oral  (live) or injected ( non-live),,,,"For Oral immunisation – Immunisation - Live
For injected immunisation – Immunisation - Non-live
",
,Polycythaemia,"Polycythaemia is a disease state in which the proportion of blood volume that is occupied by red blood cells increases.
Primary Polycythaemia:
Primary polycythemias are due to factors intrinsic to red cell precursors. Polycythemia vera (PCV), polycythemia rubra vera (PRV), or erythremia, occurs when excess red blood cells are produced as a result of an abnormality of the bone marrow. Often, excess white blood cells and platelets are also produced. Polycythemia vera is classified as a myeloproliferative disease.
Secondary Polycythaemia:
Secondary polycythemia is caused by either natural or artificial increases in the production of erythropoietin, hence an increased production of erythrocytes.
Conditions which may result in a physiologically appropriate polycythemia include:
• Altitude related
• Hypoxic disease-associated - for example in cyanotic heart disease where blood oxygen levels are reduced significantly. 
• Iatrogenic - Secondary polycythemia can be induced directly by phlebotomy (blood letting) to withdraw some blood, concentrate the erythrocytes, and return them to the body.
• Genetic - Heritable causes of secondary polycythemia also exist but are uncommon.
 Conditions where the secondary polycythemia is not as a result of physiologic adaptation and occurs irrespective of body needs include:
• Neoplasms - Renal-cell carcinoma or liver tumors, von Hippel-Lindau disease, and endocrine abnormalities including pheochromocytoma and adrenal adenoma with Cushing's syndrome.
• People whose testosterone levels are high because of the use of anabolic steroids, including athletes who abuse steroids.
","Must not donate if primary polycythaemia (rubra versa)
Accept if secondary polycythaemia (but only secondary to a non-malignant condition)
","Polycythemia vera (PCV), polycythemia rubra vera (PRV), or erythremia",PCV,,
,Prion Accociated Diseases,"Additional TGA criteria
 Must not donate:
a) Individuals who have lived in or visited England, Scotland, Wales, Northern Ireland or the Isle of Man for a cumulative period of six months or more, between 1st January 1980 and 31st December 1996 inclusive
b) individuals who have received a transfusion or injection of blood or blood components while in England, Scotland, Wales, Northern Ireland or the Isle of Man at any time since 1st January 1980 onwards
This is the “UK exclusion rule” for risk of variant CJD
","Must not donate:
1. Diagnosed with any form of CJD, or other prion associated disorder
2. Identified at increased risk of developing a prion associated disorder
Includes:
a) Individuals at familial risk of prion-associated diseases (have had two or more blood relatives develop a prion-associated disease or had been informed they are at risk following genetic counselling)
b) Recipients of dura mater grafts
c) Recipients of human pituitary derived extracts Additional TGA criteria
 Must not donate:
a) Individuals who have lived in or visited England, Scotland, Wales, Northern Ireland or the Isle of Man for a cumulative period of six months or more, between 1st January 1980 and 31st December 1996 inclusive
b) individuals who have received a transfusion or injection of blood or blood components while in England, Scotland, Wales, Northern Ireland or the Isle of Man at any time since 1st January 1980 onwards
This is the “UK exclusion rule” for risk of variant CJD
","Sporadic, Familial and Variant Creutzfeldt-Jakob Disease (CJD), Gerstmann-Straussler-Scheinker Disease and Fatal Familial Insomnia",,"Pituitary Extract
Tissue and Organ Recipients
Transfusion
Sporadic, Familial and Variant Creutzfeldt-Jakob Disease (CJD), Gerstmann-Straussler-Scheinker Disease and Fatal Familial Insomnia",
,Prisons and Psychiatric Institutions,"The TGA mandates 12 months exclusion period
The purpose behind the deferral period is that incarceration increases the likelihood of “at risk behaviours” for acquiring infectious diseases that can be transmitted by blood, cells or tissues. Risk behaviour is unlikely to have occurred while held in police custody under police powers of arrest.
","Must not donate if donor has been held in prison or psychiatric institution during the previous 6 months (4 months HCV NAT).
Accept if held in custody for a period of 72 hours or less. Similarly for short-term psychiatric episodes
",,,,
,Proctitis,"Proctitis is an inflammation of the anus and the lining of the rectum, affecting only the last 6 inches of the rectum.

Proctitis has many possible causes. It often occurs idiopathically. Other causes include
1. damage by irradiation (for example in radiation therapy for cervical cancer and prostate cancer) 
2. as a sexually transmitted infection (usually through anal intercourse), as in lymphogranuloma venereum, herpes proctitis, gonorrhoea, syphilis and chlamydia.
3. Due to ulcerative colitis and Crohn’s disease (inflammatory bowel disease)
","Accept:
a) if related to inflammatory bowel disease and there is no evidence of ocular involvement and the corneas are to be preserved by organ culture
b) If due to other causes
Must not donate if due to sexually transmitted disease.
",,,"Irradiation, lymphogranuloma venereum, herpes proctitis, gonorrhoea, syphilis and chlamydia, ulcerative colitis, Crohn's disease, inflammatory bowel disease",
